	R	jQuery()										
.queue()	A			jQuery Effects\njQuery Custom Effects\njQuery Data\njQuery Utilities							<section class="prog__container"><p>Show the queue of functions to be executed on the matched elements.</p><pre><code>$(selector).queue(queueName) → Array</code></pre><p>Arguments</p><pre><code>queueName (String) : A string containing the name of the queue. Defaults to fx, the standard effects queue.</code></pre>\n<p>Manipulate the queue of functions to be executed, once for each matched element.</p><pre><code>$(selector).queue(queueName,newQueue) → jQuery\n$(selector).queue(queueName,callback) → jQuery</code></pre><p>Arguments</p><pre><code>queueName (String) : A string containing the name of the queue. Defaults to fx, the standard effects queue.\nnewQueue (Array) : An array of functions to replace the current queue contents.\ncallback (Function) : The new function to add to the queue, with a function to call that will dequeue the next item.</code></pre></section>	https://api.jquery.com/queue/
.ready	R	.ready()										
.ready event	R	.ready()										
.ready()	A			jQuery Events\njQuery Document Loading							<section class="prog__container"><p>Specify a function to execute when the DOM is fully loaded.</p><pre><code>$(selector).ready(handler) → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute after the DOM is ready.</code></pre></section>	https://api.jquery.com/ready/
.ready() event	R	.ready()										
.readyException	R	jQuery.readyException()										
.readyException()	R	jQuery.readyException()										
.reject	R	deferred.reject()										
.reject()	R	deferred.reject()										
.rejectWith	R	deferred.rejectWith()										
.rejectWith()	R	deferred.rejectWith()										
.relatedTarget	R	event.relatedTarget										
.remove	R	.remove()										
.remove()	A			jQuery Manipulation\njQuery Dom Removal							<section class="prog__container"><p>Remove the set of matched elements from the DOM.</p><pre><code>$(selector).remove(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (String) : A selector expression that filters the set of matched elements to be removed.</code></pre></section>	https://api.jquery.com/remove/
.removeAttr	R	.removeAttr()										
.removeAttr()	A			jQuery Attributes\njQuery Manipulation\njQuery General Attributes							<section class="prog__container"><p>Remove an attribute from each element in the set of matched elements.</p><pre><code>$(selector).removeAttr(attributeName) → jQuery</code></pre><p>Arguments</p><pre><code>attributeName (String) : An attribute to remove; as of version 1.7, it can be a space-separated list of attributes.</code></pre></section>	https://api.jquery.com/removeAttr/
.removeClass	R	.removeClass()										
.removeClass()	A			jQuery Attributes\njQuery Manipulation\njQuery Class Attribute\njQuery Css							<section class="prog__container"><p>Remove a single class, multiple classes, or all classes from each element in the set of matched elements.</p><pre><code>$(selector).removeClass(className) → jQuery\n$(selector).removeClass(function) → jQuery</code></pre><p>Arguments</p><pre><code>className (String) : One or more space-separated classes to be removed from the class attribute of each matched element.\nfunction (Function) : A function returning one or more space-separated class names to be removed. Receives the index position of the element in the set and the old class value as arguments.</code></pre></section>	https://api.jquery.com/removeClass/
.removeData	R	.removeData()										
.removeData()	A			jQuery Data\njQuery Miscellaneous\njQuery Data Storage							<section class="prog__container"><p>Remove a previously-stored piece of data.</p><pre><code>$(selector).removeData(name) → jQuery\n$(selector).removeData(list) → jQuery</code></pre><p>Arguments</p><pre><code>name (String) : A string naming the piece of data to delete.\nlist (Array| String) : An array or space-separated string naming the pieces of data to delete.</code></pre></section>	https://api.jquery.com/removeData/
.removeProp	R	.removeProp()										
.removeProp()	A			jQuery Attributes\njQuery Manipulation\njQuery General Attributes							<section class="prog__container"><p>Remove a property for the set of matched elements.</p><pre><code>$(selector).removeProp(propertyName) → jQuery</code></pre><p>Arguments</p><pre><code>propertyName (String) : The name of the property to remove.</code></pre></section>	https://api.jquery.com/removeProp/
.replaceAll	R	.replaceAll()										
.replaceAll()	A			jQuery Manipulation\njQuery Dom Replacement							<section class="prog__container"><p>Replace each target element with the set of matched elements.</p><pre><code>$(selector).replaceAll(target) → jQuery</code></pre><p>Arguments</p><pre><code>target (Selector| jQuery| Array| Element) : A selector string, jQuery object, DOM element, or array of elements indicating which element(s) to replace.</code></pre></section>	https://api.jquery.com/replaceAll/
.replaceWith	R	.replaceWith()										
.replaceWith()	A			jQuery Manipulation\njQuery Dom Replacement							<section class="prog__container"><p>Replace each element in the set of matched elements with the provided new content and return the set of elements that was removed.</p><pre><code>$(selector).replaceWith(newContent) → jQuery\n$(selector).replaceWith(function) → jQuery</code></pre><p>Arguments</p><pre><code>newContent (htmlString| Element| Array| jQuery) : The content to insert. May be an HTML string, DOM element, array of DOM elements, or jQuery object.\nfunction (Function) : A function that returns content with which to replace the set of matched elements.</code></pre></section>	https://api.jquery.com/replaceWith/
.resize	R	.resize()										
.resize event	R	.resize()										
.resize()	A			jQuery Events\njQuery Browser Events							<section class="prog__container"><p>Bind an event handler to the "resize" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).resize(handler) → jQuery\n$(selector).resize(eventData,handler) → jQuery\n$(selector).resize() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/resize/
.resize() event	R	.resize()										
.resolve	R	deferred.resolve()										
.resolve()	R	deferred.resolve()										
.resolveWith	R	deferred.resolveWith()										
.resolveWith()	R	deferred.resolveWith()										
.result	R	event.result										
.scroll	R	.scroll()										
.scroll event	R	.scroll()										
.scroll()	A			jQuery Events\njQuery Browser Events							<section class="prog__container"><p>Bind an event handler to the "scroll" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).scroll(handler) → jQuery\n$(selector).scroll(eventData,handler) → jQuery\n$(selector).scroll() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/scroll/
.scroll() event	R	.scroll()										
.scrollLeft	R	.scrollLeft()										
.scrollLeft()	A			jQuery Css\njQuery Offset\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>Get the current horizontal position of the scroll bar for the first element in the set of matched elements.</p><pre><code>$(selector).scrollLeft() → Integer</code></pre>\n<p>Set the current horizontal position of the scroll bar for each of the set of matched elements.</p><pre><code>$(selector).scrollLeft(value) → jQuery</code></pre><p>Arguments</p><pre><code>value (Number) : An integer indicating the new position to set the scroll bar to.</code></pre></section>	https://api.jquery.com/scrollLeft/
